raceinfo_id,order,Quinella_(1st_place),Quinella_(2nd_place),Exacta,Trio,Trifecta
52674,1315_2119_1214_1604_2005_2013_2510_2514,5,5,0,0,0
52675,1542_2110_2224_3012_1618_3203_1907_1925,5,5,0,0,0
52676,1121_1932_2115_3114_2324_2321_1912_2114,5,5,0,0,0
52677,1110_3204_1217_919_9004_1307_1332_2914,5,5,0,0,0
52678,2217_2202_1005_1531_2425_1229_3017_2314,5,5,0,0,0
52679,2511_1312_2605_2530_1607_2814_2009_1916,5,5,0,0,0
52680,2022_2939_1427_1302_2007_3009_2912_1915,5,5,0,0,0
52681,2826_1419_2203_2212_2927_2104_3015_2402,5,5,0,0,0
52682,2909_2117_2527_912_2901_1911_2303_2934,5,5,0,0,0
52683,2523_3110_2316_2517_2416_1704_1225_2918,5,5,0,0,0
52684,3212_2710_2101_2209_1532_3102_9002_1503,5,5,0,0,0
52685,2423_2532_2305_2828_2529_2426_2410_2817,5,5,0,0,0
52686,2722_2715_2908_2501_3109_1920_2524_2319,5,5,0,0,0
52687,2726_2815_2020_2709_2607_2818_2625_3018,5,5,0,0,0
52688,1601_2502_2404_2823_2822_2018_2221_2624,5,5,0,0,0
52689,2718_1701_2719_2401_2503_2902_2807_1908,5,5,0,0,0
52690,2728_2825_2619_2820_2904_2014_2620_2806,5,5,0,0,0
52691,818_1801_2720_2614_2108_2522_2508_2601,5,5,0,0,0
52692,2821_2804_2729_2931_2905_2925_3004_2831,5,5,0,0,0
52693,1919_3205_2703_2711_2611_2613_2813_2924,5,5,0,0,0
52694,2123_2608_3013_2921_2615_3104_1930_2926,5,5,0,0,0
52695,2122_3209_2810_3116_2612_2407_2622_3118,5,5,0,0,0
52696,2705_2920_2606_2929_3005_2730_2713_2424,5,5,0,0,0
52697,2721_2824_2805_2306_2616_2409_2315_3016,5,5,0,0,0
52698,2722_2715_2908_2501_3109_1920_2524_2319,5,5,0,0,0
52699,2726_2815_2020_2709_2607_2818_2625_3018,5,5,0,0,0
52700,1601_2502_2404_2823_2822_2018_2221_2624,5,5,0,0,0
52701,2718_1701_2719_2401_2503_2807_1908_2222,5,5,0,0,0
52702,2728_2825_2619_2820_2904_2014_2620_2806,5,5,0,0,0
52703,818_1801_2720_2614_2108_2522_2508_2601,5,5,0,0,0
52704,2821_2804_2729_2931_2905_2925_3004_2831,5,5,0,0,0
52705,1919_3205_2703_2711_2611_2613_2813_2924,5,5,0,0,0
52706,2123_2608_3013_2921_2615_3104_1930_2926,5,5,0,0,0
52707,2122_3209_2810_3116_2612_2407_2622_3118,5,5,0,0,0
52708,2705_2920_2606_2929_3005_2730_2713_2424,5,5,0,0,0
52709,2721_2824_2805_2306_2616_2409_2315_3016,5,5,0,0,0
52710,2501_2503_2522_2924_1930_2014_2624_3016,5,5,0,0,0
52711,818_2721_2020_2728_1919_2823_1920_2222,5,5,0,0,0
52712,2722_2122_2905_2705_2818_2108_2615_2904,5,5,0,0,0
52713,2726_1801_2404_2407_2619_3004_2315_2319,5,5,0,0,0
52714,1701_1601_2908_2825_2720_2622_2929_2831,5,5,0,0,0
